Store  [pdx]	Address	Mon	Tue	Wed	Thu	Fri	Sat	Sun
Blue River	51748 Blue River Dr 97413 (541-822-3531)	8am–7pm	8am–7pm	8am–7pm	8am–7pm	8am–7pm	9am–7pm	10am–5pm
Bly	61278 Hwy 140 E 97622 (541-353-2271)	7am–6pm	7am–6pm	7am–6pm	7am–6pm	7am–6pm	7am–6pm	7am–6pm
Boardman	202 NW 1st 97818 (541-481-7351)	9am–6pm	9am–6pm	9am–6pm	9am–6pm	9am–6pm	9am–6pm	11am–3pm
Bonanza	31919 Hwy 70 97623 (541-545-6621)	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–9pm
Brookings	97921 Shopping Center Ave. 97415 (541-469-2502)	9am–7pm	9am–7pm	9am–7pm	9am–7pm	9am–7pm	9am–7pm	10am–4pm
Brownsville	130 Spaulding Ave 97327 (541-466-9100)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7:30pm	10am–7:30pm	11am–6pm
Burns	767 Ponderosa Village 97720 (541-573-2511)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	11am–4pm
Butte Falls	415 Broad St 97522 (541-865-3223)	8am–8pm	8am–8pm	8am–8pm	8am–8pm	8am–8pm	8am–8pm	8am–8pm
Canby	1433 SE First Ave, Suite 104 97013 (503-266-3562)	11am–8pm	11am–8pm	11am–8pm	11am–8pm	10am–8pm	10am–8pm	12pm–5pm
Cannon Beach	171 Sunset Blvd 97110 (503-436-2558)	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–8pm	11am–8pm	12pm–6pm
Cannon Beach Dwntwn	239 N Hemlock 97110 (503-436-0677)	(closed)	10am–6pm	10am–6pm	10am–6pm	11am–6pm	11am–6pm	11am–6pm
Canyonville	425 N Main Street 97417 (541-839-4105)	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm
Cascade Locks	450 SW Wa Na Pa Street 97014 (541-374-8425)	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–9pm
Cave Junction	121 S. Redwood Hwy 97523 (541-592-3685)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	(closed)
Central Point	1217 Plaza Blvd., Suite C 97502 (541-664-3910)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–9pm	10am–9pm	10am–6pm
Charleston	91133 Cape Arago Hwy 97420 (541-888-4646)	9am–9pm	9am–9pm	9am–9pm	9am–9pm	9am–9pm	9am–9pm	9am–8pm
Chemult	109329 Highway 97 N 97731 (541-365-2216)	8am–8pm	8am–8pm	8am–8pm	8am–8pm	8am–8pm	8am–8pm	8am–8pm
Chiloquin	323 Chocktoot 97624 (541-783-2346)	7:30am–8pm	7:30am–8pm	7:30am–8pm	7:30am–8pm	7:30am–8pm	7:30am–8pm	9am–8pm
Christmas Valley	87164 Christmas Valley Hwy 97641 (541-576-2500)	7am–8pm	7am–8pm	7am–8pm	7am–8pm	7am–8pm	7am–8pm	7am–8pm
Clackamas	16142 SE 82nd Dr 97015 (503-656-5186)	10:30am–7:30pm	10:30am–7:30pm	10:30am–7:30pm	10:30am–7:30pm	10:30am–8:30pm	10:30am–8:30pm	11am–6pm
Clackamas Sunnyside	12046 SE Sunnyside Rd 97015 (503-698-5829)	11am–8pm	11am–8pm	11am–8pm	11am–8pm	10am–8pm	10am–8pm	12pm–5pm
Clatskanie	235 W. Columbia River Hwy 97016 (503-728-2892)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–4pm
Condon	225 S Main Street 97823 (541-256-1200)	9am–6pm	9am–6pm	9am–6pm	9am–6pm	9am–6pm	10am–6pm	(closed)
Coos Bay	784 Central Ave. 97420 (541-267-6421)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–8pm	10am–8pm	11am–6pm
Coquille	630 Hwy 42 E 97423 (541-396-4651)	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–3pm
Corbett	36801 Historic Columbia River Hwy 97019 (503-695-2234)	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–10pm	7:30am–10pm	8am–8pm
Corvallis Downtown	575 SW Washington Avenue 97333 (541-753-7998)	10am–7:30pm	10am–7:30pm	10am–7:30pm	10am–8pm	10am–8pm	10am–8pm	12pm–4pm
Corvallis North	1875 NW Ninth St. 97330 (541-754-0769)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–9pm	10am–9pm	11am–5pm
Cottage Grove	1785 E Main St #3 97424 (541-942-3469)	10:30am–7:30pm	10:30am–7:30pm	10:30am–7:30pm	10:30am–7:30pm	10:30am–8:30pm	10:30am–8:30pm	11am–5pm
Creswell	169 E Oregon Ave 97426 (541-895-2559)	10:30am–8:30pm	10:30am–8:30pm	10:30am–8:30pm	10:30am–8:30pm	10:30am–8:30pm	10:30am–8:30pm	10:30am–8:30pm
Dallas	170 W. Ellendale, Suite 105 97338 (503-623-9668)	11am–7pm	11am–7pm	11am–7pm	11am–8pm	11am–8pm	11am–8pm	11am–7pm
Damascus	19940 SE Hwy 212 97089 (971-224-4191)	11am–8pm	11am–8pm	11am–8pm	11am–8pm	10am–8pm	10am–8pm	12pm–5pm
Dayville	207 W Franklin Ave 97825 (541-987-2133)	8am–6pm	8am–6pm	8am–6pm	8am–6pm	8am–6pm	8am–6pm	9am–5pm
Depoe Bay	Mall 101, Hwy 101, Ste H 97341 (541-765-2317)	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–4pm
Detroit	215 D Street 97342 (503-854-3696)	7am–8pm	7am–8pm	7am–8pm	7am–8pm	7am–10pm	7am–10pm	7am–8pm
Dexter	38830 Dexter Rd 97431 (541-937-2616)	7am–7pm	7am–7pm	7am–7pm	7am–7pm	7am–7pm	7am–7pm	8am–6pm
Drain	202 Second Street 97435 (541-836-2054)	9am–10pm	9am–10pm	9am–10pm	9am–10pm	9am–10pm	9am–10pm	9am–10pm
Eagle Point	11150 Highway 62 97524 (541-826-3255)	9:30am–8pm	9:30am–8pm	9:30am–8pm	9:30am–8pm	9:30am–8pm	9:30am–8pm	11am–5pm
Elgin	1480 Division Street 97827 (541-437-2012)	7:30am–8pm	7:30am–8pm	7:30am–8pm	7:30am–8pm	8am–8pm	8am–8pm	8am–8pm
Enterprise	524 S. River Street 97828 (541-426-4393)	10am–6pm	10am–6pm	10am–6pm	10am–6pm	10am–6pm	10am–6pm	(closed)
Estacada	305 SW Wade St. 97023 (503-630-6886)	9am–7pm	9am–7pm	9am–7pm	9am–7pm	9am–8pm	9am–8pm	10am–3:30pm
Eugene Bailey Hill	3190 Bailey Hill Rd 97405 (541-393-2929)	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–9pm	8am–8pm
Eugene Downtown	401 West 11th Ave 97401 (541-343-4424)	10am–8pm	10am–8pm	10am–9pm	10am–9pm	10am–10pm	10am–10pm	12pm–6pm
Eugene NE	1530 Coburg Rd 97401 (541-485-3093)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–9pm	10am–9pm	11am–6pm
Eugene NW	74 Division Ave 97404 (541-688-1400)	11am–8pm	11am–8pm	11am–8pm	11am–8pm	11am–9pm	11am–9pm	11am–6pm
Eugene South	2866 Willamette St 97405 (541-343-3611)	10am–8pm	10am–8pm	10am–8pm	10am–9pm	10am–9pm	10am–9pm	10am–7pm
Eugene South Hills	364 E 40th Avenue 97405 (541-603-3768)	11am–8pm	11am–8pm	11am–8pm	11am–8pm	10am–9pm	10am–9pm	12pm–6pm
Eugene West	2170 W Sixth Avenue 97402 (541-343-2757)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–9pm	10am–9pm	(closed)
Eugene Westside	4325 Commerce St, Suite 112 97402 (541-342-3881)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–9pm	10am–9pm	11am–6pm
Eugene Whiteaker	849 W Sixth Ave. 97402 (541-345-8045)	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm
Fields	22276 Fields Dr 97710 (541-495-2275)	8am–6pm	8am–6pm	8am–6pm	8am–6pm	8am–6pm	8am–6pm	9am–5pm
Florence	1730 Highway 126 97439 (541-997-2084)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	12pm–4pm
Florence North	88940 HWY 101 97439 (541-997-3021)	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–9pm
Forest Grove	3130 Pacific Ave 97116 (503-359-5586)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–8pm	10am–7pm	11am–5pm
Fossil	690 Main Street 97830 (541-763-2233)	9am–6pm	9am–6pm	9am–6pm	9am–6pm	9am–6pm	9am–6pm	(closed)
Garibaldi	705 Garibaldi Ave 97118 (503-322-3270)	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–9pm
Gearhart	4206 Highway 101 N 97138 (503-738-8232)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–4pm
Gilchrist	138303 Hwy 97 N 97737 (541-433-5367)	7am–8pm	7am–8pm	7am–8pm	7am–8pm	7am–8pm	7am–8pm	7am–8pm
Gladstone	435 W ARLINGTON ST 97027 (503-284-0987)	9am–9pm	9am–9pm	9am–9pm	9am–9pm	9am–10pm	9am–10pm	12pm–7pm
Glendale	432 Pacific Ave 97442 (541-832-2561)	10am–6pm	10am–6pm	10am–6pm	10am–6pm	10am–6pm	10am–6pm	11am–5pm
Gold Beach	29830 Ellensburg Avenue 97444 (541-247-7514)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm
Gold Hill	868 Second Ave 97525 (541-855-1505)	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm
Government Camp	30521 E Meldrum St 97028 (503-272-3107)	7am–8pm	7am–8pm	7am–8pm	7am–8pm	7am–8pm	7am–8pm	7am–8pm
Grand Ronde	8580 Grand Ronde Rd 97347 (503-879-2825)	8am–10pm	8am–10pm	8am–10pm	8am–10pm	8am–10pm	8am–10pm	8am–10pm
Grants Pass Downtown	210 SE 8th Street 97526 (541-479-3729)	9am–8pm	9am–8pm	9am–8pm	9am–8pm	9am–8pm	9am–8pm	11am–5pm
Grants Pass East	1638 Williams Hwy 97527 (541-476-1844)	9am–7pm	9am–7pm	9am–7pm	9am–7pm	9am–8pm	9am–8pm	11am–5pm
Gresham East	2414 SE Burnside Road 97080 (503-665-9327)	10am–10pm	10am–10pm	10am–10pm	10am–10pm	10am–10pm	10am–10pm	10am–6pm
Gresham NE Division	1173 NE Division St. 97030 (503-661-2276)	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm
Gresham Rockwood	7 NE 181st Avenue 97230 (503-665-4479)	11am–8pm	11am–8pm	11am–8pm	11am–8pm	11am–8pm	11am–8pm	11am–6pm
Gresham Troutdale	3030 NE Hogan Dr, # A 97030 (503-665-5227)	10am–10pm	10am–10pm	10am–10pm	10am–10pm	10am–10pm	10am–10pm	11am–6pm
Halfway	143 N Main St 97834 (541-742-2726)	10am–6pm	10am–6pm	10am–6pm	10am–6pm	10am–6pm	10am–6pm	(closed)
Happy Valley Southgate	11211 SE 82nd Avenue Suite C 97086 (503-653-2669)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	11am–6pm
Harrisburg	230 N Third St, Ste 102 97446 (541-995-5218)	9am–9pm	9am–9pm	9am–9pm	9am–9pm	9am–9pm	9am–9pm	9am–9pm
Heppner	217 N Main Street 97836 (541-676-9158)	7:30am–6pm	7:30am–6pm	7:30am–6pm	7:30am–6pm	7:30am–6pm	9am–6pm	(closed)
Hermiston	1565 N First Street, Suite 6 97838 (541-567-8885)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–8pm	10am–8pm	11am–5pm
Hillsboro	2033 SE Tualatin Valley Hwy 97123 (503-648-4232)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–8pm	10am–8pm	11am–5pm
Hillsboro 25th Ave	895 NE 25th Ave #7-C 97124 (971-713-3599)	tba	tba	tba	tba	tba	tba	tba
Hillsboro Aloha	1285 NW 185th Avenue 97006 (503-645-5813)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	12pm–5pm
Hillsboro Shaleen St W	7502 NE Shaleen St. 97006 (503-747-2378)	10am–9pm	10am–9pm	10am–9pm	10am–9pm	10am–10pm	10am–10pm	11am–8pm
Hillsboro TV Hwy	2905 SE 73rd Ave 97123 (503-591-9590)	11am–7pm	11am–7pm	11am–7pm	11am–7pm	10am–8pm	10am–8pm	11am–4pm
Hillsboro West	1300-C SW Oak St 97123 (971-245-6918)	10am–9pm	10am–9pm	10am–9pm	10am–9pm	10am–9pm	10am–9pm	10am–7pm
Hood River	2149 Cascade Ave #105 97031 (541-386-1991)	9am–9pm	9am–9pm	9am–9pm	9am–9pm	9am–9pm	9am–9pm	11am–7pm
Huntington	165 1st Street E 97907 (541-869-2855)	10am–6pm	10am–6pm	10am–6pm	10am–6pm	10am–6pm	10am–6pm	(closed)
Idleyld Park	23873 N Umpqua Hwy 97447 (541-496-3404)	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–9pm
Independence	1353 Monmouth St 97351 (503-838-1941)	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–8pm	10am–7pm	12pm–4pm
Ione	285 W Main Street 97843 (541-422-7122)	7am–6pm	7am–6pm	7am–6pm	7am–6pm	7am–6pm	8am–5pm	9:30am–2pm
Jacksonville	690 N Fifth 97530 (541-899-1829)	10am–6pm	10am–6pm	10am–6pm	10am–6pm	10am–6pm	10am–6pm	(closed)
John Day	631 W Main Street 97845 (541-575-2141)	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm
Jordan Valley	807 Main Street 97910 (541-586-2201)	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm
Joseph	6 S. Main St 97846 (541-432-2690)	8am–6pm	8am–6pm	8am–6pm	8am–6pm	8am–6pm	8am–6pm	10am–4pm
Junction City	1650 Ivy St 97448 (541-998-6598)	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	(closed)
Keizer	5021 River Rd North 97303 (971-273-0456)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–9pm	10am–9pm	10am–6pm
Keno	15211 Hwy 66 97627 (541-884-4944)	7am–8pm	7am–8pm	7am–8pm	7am–8pm	7am–8pm	7am–8pm	7am–8pm
King City	15745 SW 116th Avenue 97224 (503-620-5115)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	(closed)
Klamath Falls Downtown	825 Klamath Ave 97601 (541-882-3684)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–9pm	10am–8pm	11am–3pm
Klamath Falls East	4335 South Sixth St. 97603 (541-884-3313)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–9pm	10am–9pm	10am–7pm
Klamath Falls Running Y	5416 Running Y Rd 97601 (541-273-7367)	8am–8pm	8am–8pm	8am–8pm	8am–8pm	8am–8pm	8am–8pm	8am–8pm
La Grande	2212 Island Avenue, Space 102 97850 (541-963-4386)	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–8pm	11am–7pm	1pm–5pm
La Pine	51470 Highway 97 #11 97739 (541-536-2825)	9:30am–7pm	9:30am–7pm	9:30am–7pm	9:30am–7pm	9:30am–7pm	9:30am–7pm	(closed)
Lake Oswego Downtown	644 N State Street 97034 (503-636-1112)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	12pm–5pm
Lake Oswego Lake Grove	16364 Boones Ferry Rd 97035 (503-636-0310)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	11am–5pm
Lakeside	125 N Eighth 97449 (541-759-3900)	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	(closed)
Lakeview	305 N F Street 97630 (541-947-2236)	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–8pm
Langlois	48444 Hwy 101 97450 (541-348-2476)	10am–6pm	10am–6pm	10am–6pm	10am–6pm	10am–6pm	10am–6pm	10am–5pm
Lebanon	2780 S Santiam Hwy 97355 (541-258-6126)	11am–8pm	11am–8pm	11am–8pm	11am–8pm	11am–9pm	11am–9pm	11am–6pm
Lincoln City North	2409 NW Hwy 101 97367 (541-994-2521)	11am–7pm	11am–7pm	11am–7pm	10am–8pm	10am–8pm	10am–8pm	11am–6pm
Lincoln City South	4845 SW Hwy 101 97367 (541-996-2301)	8am–8pm	8am–8pm	8am–8pm	8am–8pm	8am–9pm	8am–9pm	8am–8pm
Long Creek	151 Hwy 395 N 97856 (541-421-3344)	7am–6pm	7am–6pm	7am–6pm	7am–6pm	7am–6pm	7am–6pm	7am–6pm
Madras	1555 SW Highway 97, Suite A 97741 (541-475-2491)	9am–8pm	9am–8pm	9am–8pm	9am–8pm	9am–8pm	9am–8pm	9am–8pm
Malin	2115 Broadway St 97632 (541-723-2681)	8am–6pm	8am–6pm	8am–6pm	8am–6pm	8am–6pm	8am–6pm	(closed)
Manzanita	730 Manzanita Ave 97130 (503-368-4566)	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm
Mapleton	10792 Highway 126 97453 (541-268-4478)	7am–8pm	7am–8pm	7am–8pm	7am–8pm	7am–8pm	7am–8pm	7am–8pm
Maupin	507 Deschutes Avenue 97037 (541-395-2888)	8am–7pm	8am–7pm	8am–7pm	8am–7pm	8am–7pm	8am–7pm	8am–7pm
McMinnville	1270 NE Baker St 97128 (503-472-2841)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	(closed)
McMinnville North	2628 N Hwy 99 West 97128 (971-261-2462)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–9pm	10am–9pm	(closed)
Medford East	535 Stevens Street, Ste K 97504 (541-773-1505)	9am–10pm	9am–10pm	9am–10pm	9am–10pm	9am–10pm	9am–10pm	11am–6pm
Medford North	1590 Delta Waters Rd, Suite 110 97504 (541-973-2240)	8am–10pm	8am–10pm	8am–10pm	8am–10pm	8am–10pm	8am–10pm	8am–8pm
Medford Pacific Hwy	3320 N Pacific Hwy 97501 (541-779-4139)	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm
Medford South	51 E Stewart Ave, Suite 100 97501 (541-772-1155)	9am–8pm	9am–8pm	9am–8pm	9am–8pm	9am–8pm	9am–8pm	10am–5pm
Medford West	2386 West Main A 97501 (541-772-5611)	9am–9pm	9am–9pm	9am–9pm	9am–9pm	9am–9pm	9am–9pm	11am–6pm
Merlin	3500 Merlin Rd 97526 (541-476-4551)	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm
Merrill	137 W Front St 97633 (541-798-5722)	8am–8pm	8am–8pm	8am–8pm	8am–8pm	8am–8pm	8am–8pm	8am–8pm
Mill City	250 NW 9TH Ave 97360 (503-897-2881)	9am–7pm	9am–7pm	9am–7pm	9am–7pm	9am–7pm	8am–7pm	8am–5pm
Milton-Freewater	1008 S Main Street 97862 (541-938-5711)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	11am–5pm
Milwaukie	10804 SE Oak St 97222 (503-654-9020)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	11am–6pm
Milwaukie Oak Grove	14632 SE McLoughlin Blvd. 97267 (503-653-7375)	10am–9pm	10am–9pm	10am–9pm	10am–9pm	10am–10pm	10am–10pm	10am–7pm
Molalla	1585 W Main Street, Ste G 97038 (503-829-2384)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	9am–9pm	9am–9pm	9am–7pm
Monument	335 John Day St 97864 (541-934-2290)	8am–6pm	8am–6pm	8am–6pm	8am–6pm	8am–6pm	8am–6pm	10am–4pm
Murphy	7200 Williams Hwy 97527 (541-862-7001)	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm
Myrtle Creek	217 NW 2nd Avenue 97457 (541-863-4596)	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	(closed)
Myrtle Point	309 Spruce St 97458 (541-572-5093)	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	10am–3pm
Newberg	2303-A Portland Rd 97132 (503-538-5180)	11am–7pm	11am–7pm	11am–7pm	11am–7pm	10am–7pm	10am–7pm	12pm–5pm
Newport	2019 N Coast Hwy 97365 (541-265-5621)	11am–8pm	11am–8pm	11am–8pm	11am–8pm	11am–8pm	11am–8pm	11am–6pm
North Bend	2229 Newmark Ave 97459 (541-756-2616)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–9pm	10am–9pm	10am–7pm
North Plains	31580 NW Commercial St. 97133 (503-647-5332)	7am–8pm	7am–8pm	7am–8pm	7am–8pm	7am–8pm	8am–8pm	8am–8pm
North Powder	845 2nd St 97867 (541-898-2111)	8am–7pm	8am–7pm	8am–7pm	8am–7pm	8am–7pm	8am–7pm	9am–5pm
Nyssa	424 Main St 97913 (541-372-2222)	9am–6pm	9am–6pm	9am–6pm	9am–6pm	9am–8pm	12pm–8pm	(closed)
Oakridge	47778 Highway 58 97463 (541-782-3405)	8am–8pm	8am–8pm	8am–8pm	8am–8pm	8am–8pm	8am–8pm	8am–8pm
Odessa	28200 Hwy 140W 97601 (541-356-2272)	8am–6pm	8am–6pm	8am–6pm	8am–6pm	8am–6pm	8am–6pm	8am–6pm
Ontario	1179 SW 4th Avenue 97914 (541-889-6129)	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	12pm–5pm
Oregon City	1678 Beavercreek Rd, Suite A 97045 (503-655-9334)	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	10:30am–7pm	11am–5pm
Otis	5283 Salmon River Hwy 97368 (503-602-9868)	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm
Pacific City	34585 Brooten Rd 97135 (503-965-6375)	8am–10pm	8am–10pm	8am–10pm	8am–10pm	8am–10pm	8am–10pm	8am–10pm
Paisley	329 Highway 31 97636 (541-943-3110)	8am–6pm	8am–6pm	8am–6pm	8am–6pm	8am–6pm	8am–6pm	(closed)
Parkdale	4990 Baseline Drive 97041 (541-352-6323)	7am–8pm	7am–8pm	7am–8pm	7am–8pm	7am–8pm	7am–8pm	8am–8pm
Pendleton	237 SW Emigrant Avenue 97801 (541-276-1202)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	(closed)
Philomath	1805 Main Street 97370 (541-929-3313)	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	(closed)
Pilot Rock	168 NW Birch Street 97868 (541-443-2251)	8:30am–8pm	8:30am–8pm	8:30am–8pm	8:30am–8pm	8:30am–8pm	8:30am–8pm	8:30am–7pm
